Cable Name,Owners,owner,cablesystem,region,SHAPE__Length,objectid,SHAPE__Area,status
2Africa,"Bayobab, China Mobile, Meta, Orange, Telecom Egypt, Vodafone, WIOCC, center3",,,Gulf of America,576.0958137,37,16395.61144,
5 Villages 6 Islands,Tokyo Metropolitan Government,,,Gulf of America,576.0958137,37,16395.61144,
ACS Alaska-Oregon Network (AKORN),Alaska Communications,Alaska Communications,AKORN,Pacific Northwest,381270.759,557,23925238.12,In Service
Aden-Djibouti,"Djibouti Telecom, Orange, Sparkle, Tata Communications, TeleYemen",,,Gulf of America,576.0958137,37,16395.61144,
Adria-1,"ALBtelecom, Hrvatski Telekom",,,Gulf of America,576.0958137,37,16395.61144,
AEC-1,EXA Infrastructure,Aqua Comms Americas,AEConnect-1 Cable System,East Coast,916799.5313,36,36591921.96,In Service
Africa-1,"G42, Mobily, Pakistan Telecommunications Company Ltd., TeleYemen, Telecom Egypt, Zain Omantel International, e&",,,Gulf of America,576.0958137,37,16395.61144,
Africa Coast to Europe (ACE),"Bayobab, Cable Consortium of Liberia, Canalink, Dolphin Telecom, GUILAB, Gambia Submarine Cable Company, International Mauritania Telecom, Orange, Orange Cameroun, Orange Cote d�Ivoire, Orange Mali, Republic of Cameroon, Republic of Equatorial Guinea, Republic of Gabon, Republic of Guinea Bissau, SBIN (Soci�t� B�ninoise des Infrastructures Num�riques du B�nin), STP Cabo, Sierra Leone Cable Company, Sonatel, Zamani Telecom",,,Gulf of America,576.0958137,37,16395.61144,
Airraq,"Unicom, Inc.",,,Gulf of America,576.0958137,37,16395.61144,
Alaska United East (AU-East),GCI Communication Corp,,,Gulf of America,576.0958137,37,16395.61144,
Alaska United Southeast (AU-SE),GCI Communication Corp,,,Gulf of America,576.0958137,37,16395.61144,
Alaska United Turnagain Arm (AUTA),GCI Communication Corp,,,Gulf of America,576.0958137,37,16395.61144,
Alaska United West (AU-West),GCI Communication Corp,,,Gulf of America,576.0958137,37,16395.61144,
ALBA-1,"Telecom Venezuela, Transbit",,,Gulf of America,576.0958137,37,16395.61144,
Aletar,"Liban Telecom, Syrian Telecommunications Establishment, Telecom Egypt",,,Gulf of America,576.0958137,37,16395.61144,
Almer�a-Melilla (ALME),Telefonica,,,Gulf of America,576.0958137,37,16395.61144,
Alonso de Ojeda,"Setar, United Telecommunication Services (UTS)",,,Gulf of America,576.0958137,37,16395.61144,
America Movil Submarine Cable System-1 (AMX-1),Am�rica M�vil (Claro),,,Gulf of America,576.0958137,37,16395.61144,
AmeriCan-1,"Bell Canada, Ledcor Industries Inc., Rogers Communications, Zayo",Front Range Topco Inc,American-Canada 1,West Coast,47314.25788,2710,3427557.353,In Service
Americas-I North,AT&T,AT&T Corp,Americas 1 North - Columbus II B,Caribbean,177160.4534,32,5707847.028,In Service
Americas-II West,"AT&T, Liberty Networks, Sparkle",Liberty Latin America Ltd,Americas II,Caribbean,269052.5426,39,8680743.102,In Service
Amerigo Vespucci,Antelecom,,,Gulf of America,576.0958137,37,16395.61144,
Amitie,"EXA Infrastructure, Meta, Microsoft, Orange, Vodafone",EXA Infrastructure,Amitie,East Coast,936017.6965,521,38761742.98,In Service
ANDROMEDA,"Etisalat Group, Exelera, Grid Telecom",,,Gulf of America,576.0958137,37,16395.61144,
Anjana,Meta,Edge USA,Anjana System,East Coast,538796.5768,2747,19614182.18,In Service
Antigua-St.Kitts,Liberty Networks,,,Gulf of America,576.0958137,37,16395.61144,
Antillas 1,"Altice Dominicana, Antelecom, Claro Dominicana (Codetel), Liberty Networks, Setar",AT&T Corp,Antillas 1,Caribbean,578103.842,49,18669601.87,In Service
APCN-2,"AT&T, BT, China Telecom, China Unicom, Chunghwa Telecom, HKBN, KDDI, KT, LG Uplus, NTT, Orange, PCCW, PLDT, Singtel, Singtel Optus, Softbank, Starhub, Tata Communications, Telekom Malaysia, Telstra, Verizon, Vodafone",,,Gulf of America,576.0958137,37,16395.61144,
APOCS 1,Bell Canada,Pacific Caribbean Cable System Consortium,Pacific Caribbean Cable System 1,East Coast,1128823.046,452,39705432.79,In Service
APOCS 2,Bell Canada,Telxius,Pacific Caribbean Cable System,Caribbean,389036.9218,43,12484982.87,In Service
Apollo,Vodafone,Vodafone,Apollo Submarine Cable System,East Coast,1521293.147,426,60071179.63,In Service
Apollo East and West,Grid Telecom,,,Gulf of America,576.0958137,37,16395.61144,
Apricot,"Chunghwa Telecom, Google, Meta, NTT, PLDT",GU Holdings Inc,Apricot Cable System,Pacific Islands,805546.084,2736,25349118.32,In Service
