cable_name,proposed_status,source,confidence,note
2Africa,In Service,telegeography:2africa,derived,"is_planned=False, rfs_year=2024"
5 Villages 6 Islands,In Service,telegeography:5-villages-6-islands,derived,"is_planned=False, rfs_year=2019"
Aden-Djibouti,In Service,telegeography:aden-djibouti,derived,"is_planned=False, rfs_year=1994"
Adria-1,In Service,telegeography:adria-1,derived,"is_planned=False, rfs_year=1996"
Africa-1,Planned,telegeography:africa-1,derived,"is_planned=True, rfs_year=2027"
Africa Coast to Europe (ACE),In Service,telegeography:africa-coast-to-europe-ace,derived,"is_planned=False, rfs_year=2012"
Airraq,In Service,telegeography:airraq,derived,"is_planned=False, rfs_year=2025"
Alaska United East (AU-East),,,needs_manual_review,"Has a non-resolved-looking incident status in incidents.csv; TeleGeography data doesn't track outages, so don't default this one."
Alaska United Southeast (AU-SE),In Service,telegeography:alaska-united-southeast-au-se,derived,"is_planned=False, rfs_year=2008"
Alaska United Turnagain Arm (AUTA),In Service,telegeography:alaska-united-turnagain-arm-auta,derived,"is_planned=False, rfs_year=2012"
Alaska United West (AU-West),In Service,telegeography:alaska-united-west-au-west,derived,"is_planned=False, rfs_year=2004"
ALBA-1,In Service,telegeography:alba-1,derived,"is_planned=False, rfs_year=2012"
Aletar,In Service,telegeography:aletar,derived,"is_planned=False, rfs_year=1997"
Almer�a-Melilla (ALME),,,not_found,"No matching entry in TeleGeography's dataset (may not be a telecom cable, or name doesn't match exactly)."
Alonso de Ojeda,In Service,telegeography:alonso-de-ojeda,derived,"is_planned=False, rfs_year=1999"
America Movil Submarine Cable System-1 (AMX-1),In Service,telegeography:america-movil-submarine-cable-system-1-amx-1,derived,"is_planned=False, rfs_year=2014"
Amerigo Vespucci,In Service,telegeography:amerigo-vespucci,derived,"is_planned=False, rfs_year=1999"
ANDROMEDA,Planned,telegeography:andromeda,derived,"is_planned=True, rfs_year=None"
Antigua-St.Kitts,In Service,telegeography:antigua-st-kitts,derived,"is_planned=False, rfs_year=1995"
APCN-2,In Service,telegeography:apcn-2,derived,"is_planned=False, rfs_year=2001"
Apollo East and West,In Service,telegeography:apollo-east-and-west,derived,"is_planned=False, rfs_year=2025"
Aqualink,In Service,telegeography:aqualink,derived,"is_planned=False, rfs_year=2001"
Arctic Way,Planned,telegeography:arctic-way,derived,"is_planned=True, rfs_year=2028"
ARIMAO,In Service,telegeography:arimao,derived,"is_planned=False, rfs_year=2023"
ARSAT Submarine Fiber Optic Cable,In Service,telegeography:arsat-submarine-fiber-optic-cable,derived,"is_planned=False, rfs_year=2012"
Asia Africa Europe-1 (AAE-1),,,needs_manual_review,"Has a non-resolved-looking incident status in incidents.csv; TeleGeography data doesn't track outages, so don't default this one."
Asia Connect Cable-1 (ACC-1),Planned,telegeography:asia-connect-cable-1-acc-1,derived,"is_planned=True, rfs_year=2029"
Asia Direct Cable (ADC),In Service,telegeography:asia-direct-cable-adc,derived,"is_planned=False, rfs_year=2024"
Asia Link Cable (ALC),Planned,telegeography:asia-link-cable-alc,derived,"is_planned=True, rfs_year=2027"
Asia Submarine-cable Express (ASE)/Cahaya Malaysia,In Service,telegeography:asia-submarine-cable-express-asecahaya-malaysia,derived,"is_planned=False, rfs_year=2012"
Asia United Gateway East (AUG East),Planned,telegeography:asia-united-gateway-east-aug-east,derived,"is_planned=True, rfs_year=2029"
Atlantic Crossing-1 (AC-1),In Service,telegeography:atlantic-crossing-1-ac-1,derived,"is_planned=False, rfs_year=1998"
Atlas Offshore,In Service,telegeography:atlas-offshore,derived,"is_planned=False, rfs_year=2007"
Aurora,In Service,telegeography:aurora,derived,"is_planned=False, rfs_year=2024"
Australia-Singapore Cable (ASC),In Service,telegeography:australia-singapore-cable-asc,derived,"is_planned=False, rfs_year=2018"
Avassa,In Service,telegeography:avassa,derived,"is_planned=False, rfs_year=2016"
Azores Fiber Optic System (AFOS),In Service,telegeography:azores-fiber-optic-system-afos,derived,"is_planned=False, rfs_year=1998"
Bahamas Domestic Submarine Network (BDSNi),In Service,telegeography:bahamas-domestic-submarine-network-bdsni,derived,"is_planned=False, rfs_year=2006"
Bahamas Internet Cable System (BICS),In Service,telegeography:bahamas-internet-cable-system-bics,derived,"is_planned=False, rfs_year=2001"
Balalink,In Service,telegeography:balalink,derived,"is_planned=False, rfs_year=2001"
BALOK,In Service,telegeography:balok,derived,"is_planned=False, rfs_year=2016"
Baltic Sea Submarine Cable,In Service,telegeography:baltic-sea-submarine-cable,derived,"is_planned=False, rfs_year=2000"
Baltica,In Service,telegeography:baltica,derived,"is_planned=False, rfs_year=1997"
Barat Timur Indonesia-1 (BTI-1),Planned,telegeography:barat-timur-indonesia-1-bti-1,derived,"is_planned=True, rfs_year=2028"
Barat Timur Indonesia-2 (BTI-2),Planned,telegeography:barat-timur-indonesia-2-bti-2,derived,"is_planned=True, rfs_year=None"
Barracuda,Planned,telegeography:barracuda,derived,"is_planned=True, rfs_year=2028"
Bass Strait-1,In Service,telegeography:bass-strait-1,derived,"is_planned=False, rfs_year=1995"
